id,name,servings,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,iron_per_serving,isVegetarian,ingredients_count,grams_per_serving,unmatched_ingredients,approximated_ingredients
gobi_paratha,Gobi Paratha,1,751.1,23.7,154.8,2.3,9.4,6.32,true,10,330,,
pudla,Pudla,1,704.9,47.8,83.7,18.1,28.3,13.42,true,13,464,,
aloo_cheese_toast_sandwich,Aloo Cheese Toast Sandwich,2,184.6,6.6,33.0,14.9,9.8,8.43,true,15,315,,
suji_pasta,Suji Pasta,1,587.1,22.1,116.4,31.5,21.3,7.95,true,14,458,,
curd_dosa,Curd Dosa,2,540.9,14.8,114.1,1.5,10.4,5.85,true,5,305,,
chia_pudding,Chia Pudding,1,519.1,10.1,98.1,8.6,10.3,5.43,true,8,458,,
ven_pongal,Ven Pongal,1,479.7,13.0,74.3,115.8,6.6,6.98,true,11,375,,
banana_dosa,Banana Dosa,2,567.9,14.2,121.3,1.5,11.0,6.07,true,9,349,,
tomato_dosa,Tomato Dosa,1,675.4,19.6,138.2,3.0,16.1,9.77,true,8,415,,
dill_pulao,Dill Pulao,3,680.5,15.4,125.9,19.6,12.0,9.51,true,18,307,,
wheat_rava_upma,Wheat Rava Upma,4,802.2,26.4,60.4,53.1,8.7,8.5,true,21,274,,bensi rava
pizza_sandwich,Pizza Sandwich,1,310.7,8.4,12.2,25.0,3.8,1.67,true,11,295,,
namkeen_seviyan,Namkeen Seviyan,1,708.3,26.0,109.8,24.5,28.5,11.98,true,22,544,,
adai_dosa,Adai Dosa,3,657.5,34.8,110.7,6.2,27.4,11.86,true,15,330,,
lauki_thalipeeth,Lauki Thalipeeth,2,428.2,11.9,87.1,2.5,8.9,7.52,true,12,369,,
pesarattu,Pesarattu,1,206.0,9.0,35.2,2.7,8.1,4.13,true,7,300,,
rava_idli,Rava Idli,4,765.7,25.3,55.3,55.3,9.0,8.21,true,15,256,,
indori_poha,Indori Poha,2,722.5,16.9,133.9,24.6,12.3,10.96,true,22,324,,
masala_oats,Masala Oats,3,206.1,10.0,33.3,10.9,23.6,9.23,true,23,356,,
tomato_oats,Tomato Oats,2,54.1,3.7,6.9,13.6,6.2,3.6,true,15,333,,
ragi_idli,Ragi Idli,2,634.0,19.5,114.2,22.2,20.3,8.59,true,17,390,,
red_chutney_for_mysore_masala_dosa,Red Chutney For Mysore Masala Dosa,1,192.8,11.8,26.6,11.8,17.6,6.51,true,7,196,,
chilli_cheese_sandwich,Chilli Cheese Sandwich,1,45.0,3.0,6.6,0.4,3.5,1.88,true,5,115,,
nylon_khaman_dhokla,Nylon Khaman Dhokla,1,891.2,48.8,101.7,54.9,39.3,16.17,true,13,459,,
bisi_bele_bath,Bisi Bele Bath,4,705.9,31.4,96.3,26.6,51.7,17.2,true,32,435,,
multigrain_dosa,Multigrain Dosa,5,794.9,31.3,153.6,4.0,17.2,12.26,true,7,276,,
puttu,Puttu,2,756.8,15.2,80.9,41.1,12.9,3.8,true,4,195,,
instant_wheat_dosa,Instant Wheat Dosa,1,609.5,17.0,124.4,3.0,15.1,10.81,true,9,405,,
ottu_shavige,Ottu Shavige,1,722.2,15.2,156.6,6.6,7.1,9.1,true,4,245,,
masale_bhat,Masale Bhat,3,438.6,12.8,67.1,29.0,18.6,8.06,true,25,402,,
dosa,Dosa,4,718.9,23.2,145.4,3.0,12.1,9.54,true,6,244,,
instant_idli,Instant Idli,1,804.8,20.4,171.3,2.3,13.1,9.17,true,6,515,,
apple_pancakes,Apple Pancakes,1,791.7,22.8,160.7,4.6,6.7,3.79,true,11,410,,
roti_wrap,Roti Wrap,1,0.0,0.0,0.0,0.0,0.0,0.0,true,12,0,,
banana_pancake,Banana Pancake,2,481.1,14.1,80.3,10.8,3.1,1.77,true,9,362,,
besan_chilla,Besan Chilla,2,523.0,32.7,63.2,14.3,17.8,7.46,true,12,361,,
palak_chilla,Palak Chilla,1,659.5,34.6,108.7,7.5,30.8,14.48,true,16,539,,
ragi_java,Ragi Java,1,415.1,11.4,82.3,3.1,18.6,9.43,true,8,496,,
poha_dosa,Poha Dosa,2,540.9,14.8,114.1,1.5,10.4,5.85,true,6,305,,
idli,Idli,2,476.5,16.5,95.5,1.8,8.3,6.26,true,6,165,,
aloo_paratha,Aloo Paratha,3,391.5,11.2,80.3,5.9,12.4,4.39,true,9,384,,
rava_idli_easy_and_no_fermentation,Rava Idli (Easy And No Fermentation),6,761.2,28.7,49.1,53.5,19.3,13.69,true,16,278,,
oats_dosa,Oats Dosa,1,500.9,12.5,53.4,25.7,17.2,7.95,true,13,438,,
appam,Appam,2,687.6,12.6,108.3,21.8,9.6,7.15,true,7,214,,
aloo_kulcha,Aloo Kulcha,2,515.1,13.7,94.5,8.0,10.8,4.57,true,13,352,,oil - i used oil
methi_paratha,Methi Paratha,1,710.8,26.9,136.6,12.6,29.8,15.5,true,8,415,,
chole_bhature,Chole Bhature,3,731.9,30.1,130.1,29.5,27.6,14.74,true,25,457,,sooji finer textured
poori_masala,Poori Masala,6,816.4,27.0,44.8,62.8,9.0,10.03,true,18,288,,
misal_pav,Misal Pav,8,328.5,18.7,40.3,13.9,26.7,13.97,true,23,416,,
tomato_omelette,Tomato Omelette,1,393.2,25.9,55.1,70.0,22.2,10.74,true,13,453,,
mumbai_masala_sandwich,Mumbai Masala Sandwich,6,190.3,13.3,26.0,3.3,26.8,14.13,true,20,426,,
oats_upma,Oats Upma,6,833.2,33.3,39.7,59.7,24.8,17.82,true,16,344,,
leftover_rice_idli,Leftover Rice Idli,2,684.0,20.8,140.7,2.5,10.1,8.85,true,5,231,,
mysore_masala_dosa_with_red_chutney,Mysore Masala Dosa (With Red Chutney),7,520.7,26.9,77.4,10.8,46.5,22.69,true,26,403,,
mangalore_buns,Mangalore Buns,1,593.5,17.6,120.7,7.1,19.7,6.85,true,8,378,,
eggless_pancake,Eggless Pancake,2,656.9,21.6,132.0,3.0,22.9,8.1,true,7,256,,
palak_paratha,Palak Paratha,2,383.7,15.4,71.3,7.1,17.0,9.97,true,6,376,,
tomato_upma,Tomato Upma,3,367.2,23.7,53.1,17.2,43.7,20.01,true,17,402,,
mix_veg_paratha,Mix Veg Paratha,5,261.1,12.5,46.8,4.3,16.5,6.11,true,17,374,,
onion_paratha_pyaz_paratha,Onion Paratha (Pyaz Paratha),1,689.7,24.0,136.1,16.2,28.6,11.03,true,9,385,,
bread_roll,Bread Roll,5,104.9,2.5,21.8,0.5,2.9,1.22,true,9,368,,
suji_toast,Suji Toast,2,119.1,5.0,22.4,0.5,6.3,2.93,true,7,416,,
oats_chilla,Oats Chilla,1,203.6,13.6,27.9,3.4,12.5,6.76,true,11,281,,
paratha,Paratha,1,671.2,44.0,95.3,23.6,30.9,12.4,true,4,255,,
puri_bhaji,Puri Bhaji,5,227.7,19.9,24.8,3.3,42.6,22.4,true,13,437,,
davangere_benne_dosa,Davangere Benne Dosa,6,281.5,7.2,44.3,9.8,7.4,3.19,true,16,429,,
mooli_paratha,Mooli Paratha,1,685.8,23.6,135.7,16.3,25.7,10.23,true,6,355,,
poori,Poori,2,492.7,16.2,99.0,4.4,17.2,6.07,true,4,182,,
matar_paratha,Matar Paratha,1,766.3,27.4,148.8,13.2,29.0,11.63,true,9,595,,
french_toast_without_eggs,French Toast (Without Eggs),1,134.4,4.2,13.8,6.9,1.3,0.27,true,6,305,,
aval_upma,Aval Upma,9,841.3,30.7,63.1,53.6,23.7,16.63,true,20,338,,
masala_paratha,Masala Paratha,2,370.9,12.1,73.9,8.3,13.2,4.88,true,10,342,,
eggless_banana_pancakes,Eggless Banana Pancakes,1,465.0,11.5,98.7,1.6,11.5,5.83,true,4,168,,
dal_dosa_no_ferment_lentil_dosa,Dal Dosa (No Ferment Lentil Dosa),1,344.9,19.2,62.8,1.0,9.4,6.24,true,7,135,,
alur_dom_bengali_aloo_dum,Alur Dom (Bengali Aloo Dum),4,226.3,6.1,45.6,24.6,8.4,3.77,true,16,444,,
oats_porridge,Oats Porridge,1,109.1,3.8,8.6,6.7,0.0,0.16,true,4,242,,
suji_ka_cheela,Suji Ka Cheela,1,569.1,21.6,111.8,2.1,21.6,9.73,true,9,332,,
lauki_ka_paratha,Lauki Ka Paratha,2,337.4,11.3,67.3,8.0,12.5,4.3,true,6,304,,
masala_idli,Masala Idli,2,841.3,25.1,170.9,11.5,3.1,2.06,true,12,376,,regular sized idli
cheese_paratha,Cheese Paratha,1,365.9,12.9,71.4,6.3,15.4,5.84,true,8,291,,
ragi_malt,Ragi Malt,1,511.6,7.5,102.8,6.9,6.4,6.75,true,5,166,,
cabbage_paratha_patta_gobhi_ka_paratha,Cabbage Paratha (Patta Gobhi Ka Paratha),1,84.9,6.3,11.2,9.7,9.3,2.8,true,12,428,,
mysore_bonda,Mysore Bonda,3,457.8,29.0,38.5,18.6,51.9,25.23,true,12,398,,
oats_uttapam_instant_amp_healthy,Oats Uttapam (Instant &Amp; Healthy),1,293.2,15.9,46.8,2.9,18.3,9.54,true,11,549,,
carrot_paratha,Carrot Paratha,5,264.1,21.1,32.9,5.7,44.6,22.09,true,10,377,,
lachha_paratha,Lachha Paratha,1,656.9,21.6,132.0,15.7,22.9,8.1,true,2,255,,
potato_sandwich,Potato Sandwich,3,129.8,3.3,26.6,0.7,4.1,1.63,true,9,360,,
moong_dal_chilla,Moong Dal Chilla,1,43.2,3.0,4.8,64.8,5.8,4.05,true,12,375,,
tofu_bhurji_indian_scrambled_tofu,Tofu Bhurji (Indian Scrambled Tofu,2,175.1,17.4,7.3,22.5,3.6,2.15,true,10,347,,
capsicum_sandwich,Capsicum Sandwich,1,23.7,1.4,3.5,0.2,2.2,1.09,true,8,521,,
quinoa_upma_healthy_quinoa,Quinoa Upma (Healthy Quinoa,3,289.9,23.5,32.0,11.6,47.6,22.92,true,17,383,,
adai,Adai,2,629.8,25.4,93.1,15.6,27.7,12.77,true,14,268,,
ajwain_paratha,Ajwain Paratha,1,656.9,21.6,132.0,15.7,22.9,8.1,true,3,270,,
sabudana_dosa,Sabudana Dosa,3,867.7,84.2,59.7,18.3,150.7,28.18,true,6,438,,
avocado_toast,Avocado Toast,1,473.8,23.3,70.8,8.4,19.3,3.75,true,8,438,,
missi_roti,Missi Roti,2,571.5,26.7,100.5,11.8,23.0,8.6,true,9,230,,
lauki_thepla,Lauki Thepla,1,639.6,25.5,119.4,17.7,25.2,9.75,true,11,526,,
